Checklist da Casa Nova — Itens e Prioridades,,,,,,,,,
Preencha os campos em amarelo. Use os filtros do cabeçalho para organizar por prioridade ou status.,,,,,,,,,
,,,,,,,,,
Categoria,Item,Prioridade,Status,Tipo,Quantidade,Preço estimado (R$),Preço Real Pago (R$),Link do item,Observações
Banheiro,Toalhas de banho,Essencial,A comprar,Chá de Panela,4,"R$200,00",,,
Banheiro,Toalhas de rosto,Essencial,A comprar,Chá de Panela,4,"R$100,00",,,
Banheiro,Chuveiro elétrico,Essencial,A comprar,Chá de Panela,2,"R$1.200,00",,,
Banheiro,Secador de cabelo,Essencial,A comprar,Chá de Panela,1,"R$200,00",,,
Cozinha,Geladeira,Essencial,A comprar,Chá de Panela,1,"R$3.500,00",,,
Cozinha,Micro-ondas,Essencial,A comprar,Chá de Panela,1,"R$600,00",,,
Cozinha,Fogão cooktop,Essencial,A comprar,Chá de Panela,1,"R$600,00",,,
Cozinha,Jogo completo de panelas,Essencial,A comprar,Chá de Panela,1,"R$400,00",,,
Cozinha,Frigideira,Essencial,A comprar,Chá de Panela,1,"R$60,00",,,
Cozinha,Jogo de talheres,Essencial,A comprar,Chá de Panela,1,"R$50,00",,,
Cozinha,Jogo de pratos,Essencial,A comprar,Chá de Panela,1,"R$100,00",,,
Cozinha,Jogo de copos,Essencial,A comprar,Chá de Panela,2,"R$100,00",,,
Cozinha,Facas de cozinha,Essencial,A comprar,Chá de Panela,1,"R$200,00",,,
Cozinha,Pia - kit de limpeza (esponja/detergente),Essencial,A comprar,Chá de Panela,1,"R$30,00",,,
Cozinha,Lixeira de cozinha,Essencial,A comprar,Chá de Panela,1,"R$40,00",,,
Diversos,Lâmpadas,Essencial,A comprar,Compra pessoal,7,"R$70,00",,,
Limpeza,Vassoura e rodo,Essencial,A comprar,Chá de Panela,1,"R$60,00",,,
Limpeza,Balde,Essencial,A comprar,Chá de Panela,1,"R$30,00",,,
Limpeza,Pano de chão,Essencial,A comprar,Chá de Panela,4,"R$30,00",,,
Quarto,Cama (colchão + estrutura),Essencial,A comprar,Compra pessoal,1,"R$700,00",,,
Quarto,Jogo de lençol,Essencial,A comprar,Compra pessoal,2,"R$80,00",,,
Quarto,Travesseiro,Essencial,A comprar,Compra pessoal,2,"R$150,00",,,
Quarto,Cobertor/edredom,Essencial,A comprar,Compra pessoal,2,"R$300,00",,,
Quarto,Cortina,Essencial,A comprar,Chá de Panela,3,"R$300,00",,,
Área de serviço,Máquina de lavar roupa,Essencial,A comprar,Chá de Panela,1,"R$4.000,00",,,
Área de serviço,Varal,Essencial,A comprar,Chá de Panela,1,"R$60,00",,,
Área de serviço,Aspirador de pó vertical,Essencial,A comprar,Chá de Panela,1,"R$350,00",,,
Área de serviço,Ar condicionado,Importante,A comprar,Compra pessoal,1,"R$2.700,00",,,
Banheiro,Tapete de banheiro,Importante,A comprar,Chá de Panela,4,"R$120,00",,,
Banheiro,Lixeira de banheiro,Importante,A comprar,Chá de Panela,2,"R$60,00",,,
Cozinha,Air fryer,Importante,A comprar,Chá de Panela,1,"R$500,00",,,
Cozinha,Sanduicheira,Importante,A comprar,Chá de Panela,1,"R$300,00",,,
Cozinha,Tábua de corte,Importante,A comprar,Chá de Panela,1,"R$60,00",,,
Cozinha,Escorredor de louça,Importante,A comprar,Chá de Panela,1,"R$50,00",,,
Cozinha,Pano de pratos,Importante,A comprar,Chá de Panela,7,"R$20,00",,,
Cozinha,Filtro/purificador de água,Importante,A comprar,Chá de Panela,1,"R$650,00",,,
Cozinha,Liquidificador,Importante,A comprar,Chá de Panela,1,"R$100,00",,,
Cozinha,Potes herméticos (mantimentos),Importante,A comprar,Chá de Panela,5,"R$40,00",,,
Cozinha,Máquina de lavar louça,Importante,A comprar,Chá de Panela,1,"R$3.000,00",,,
Cozinha,Depurador,Importante,A comprar,Chá de Panela,1,"R$3.000,00",,,
Diversos,kit primeiros socorros,Importante,A comprar,Compra pessoal,1,"R$80,00",,,
Diversos,Furadeira/kit ferramentas básico,Importante,A comprar,Compra pessoal,1,"R$400,00",,,
Quarto,Cabides,Importante,A comprar,Compra pessoal,40,"R$60,00",,,
Sala,Sofá,Importante,A comprar,Chá de Panela,1,"R$800,00",,,
Sala,Cortina,Importante,A comprar,Chá de Panela,1,"R$150,00",,,
Área de serviço,Tábua de passar,Importante,A comprar,Chá de Panela,1,"R$100,00",,,
Área de serviço,Ferro de passar,Importante,A comprar,Chá de Panela,1,"R$120,00",,,
Área de serviço,Cesto de roupa suja,Importante,A comprar,Chá de Panela,1,"R$40,00",,,
Cozinha,Cafeteira,Importante,A comprar,Chá de Panela,1,"R$1.100,00",,,
Banheiro,Porta-shampoo/saboneteira,Desejável,A comprar,Chá de Panela,1,"R$40,00",,,
Banheiro,Aquecedor de toalhas,Desejável,A comprar,Compra pessoal,1,"R$500,00",,,
Cozinha,Panela de arroz,Desejável,A comprar,Compra pessoal,1,"R$200,00",,,
Limpeza,Robo aspirador de pó,Desejável,A comprar,Compra pessoal,1,"R$2.500,00",,,
Quarto,Luminária de cabeceira,Desejável,A comprar,Compra pessoal,1,"R$90,00",,,
Quarto,Espelho,Desejável,A comprar,Compra pessoal,1,"R$100,00",,,
Sala,Rack/estante para TV,Desejável,A comprar,Compra pessoal,1,"R$500,00",,,
Sala,TV 50' 4k LED,Desejável,A comprar,Compra pessoal,1,"R$4.000,00",,,
Sala,Soundbar 5.1 (LG),Desejável,A comprar,Compra pessoal,1,"R$2.000,00",,,
Sala,Tapete,Desejável,A comprar,Chá de Panela,1,"R$150,00",,,
,,,,,,,,,
TOTAL GERAL ESTIMADO,,,,,,"R$37.040,00",,,
